Авторы;Идентификатор автора(ов);Название;Год
Litvinova O., Ryzhkova E., Litvinova T., Larin E., Lyell J., Seredin P.;"56878809500;57195643884;56638057700;57224615255;57194683636;8404521100;";Building a corpus of “real” texts for deception detection;2017
Khokhlova M., Klyshinsky E.;"56088078800;56397131900;";In Search of Lost Collocations: Combining Measures to Reach the Top Range;2017
Vasenko A.S., Golubov A.A., Silkin V.M., Chulkov E.V.;"8964807800;7004395521;7003831165;7006663820;";Odd-frequency superconductivity induced in topological insulators with and without hexagonal warping;2017
Zeldenrust F., de Knecht S., Wadman W.J., Denève S., Gutkin B.;"31067612200;57195385459;7003340715;6602241278;55884887100;";Estimating the information extracted by a single spiking neuron from a continuous input time series;2017
Skulkin S.P., Turchin V.I., Kascheev N.I., Ponomarev D.M.;"6603246966;55354871700;37461685100;7005755873;";Transient Field Calculation of Aperture Antennas for Various Field Distributions over the Aperture;2017
Ioselevich A.S., Sivak V.V.;"6701797954;57040960000;";Cotunneling and polaronic effect in granular systems;2017
Kondratiev Y., Molchanov S., Pirogov S., Zhizhina E.;"7004404808;7004217928;57211511515;26026181500;";On ground state of some non local Schrödinger operators;2017
Laurinavichyute A., Jäger L.A., Akinina Y., Roß J., Dragoy O.;"56405575900;56503248300;55558819300;57194492369;36522630700;";Retrieval and encoding interference: Cross-linguistic evidence from anaphor processing;2017
Styrin P.E.;"57194851530;";Open government data policy & governance: Applicability of ecosystem approach. Comparative cross-country analysis;2017
Abrashkin A., Pelinovsky E.;"6701859116;7004951110;";Lagrange form of the nonlinear Schrödinger equation for low-vorticity waves in deep water;2017
Riès S.K., Dhillon R.K., Clarke A., King-Stephens D., Laxer K.D., Weber P.B., Kuperman R.A., Auguste K.I., Brunner P., Schalk G., Lin J.J., Parvizi J., Crone N.E., Dronkersm N.F., Knight R.T.;"36021907300;57194493727;36865842900;15024862200;7006563876;56655940400;55858385400;6507377514;55120871900;6602536502;7501727296;7003443688;6603727775;57194509300;57206471338;";Spatiotemporal dynamics of word retrieval in speech production revealed by cortical high-frequency band activity;2017
Zubizarreta X., Chulkov E.V., Chernov I.P., Vasenko A.S., Aldazabal I., Silkin V.M.;"35068864500;7006663820;57197860920;8964807800;8581709600;7003831165;";Quantum-size effects in the loss function of Pb(111) thin films: An ab initio study;2017
Gromov I.Y., Kozhevnikov A.M., Romanova I.I.;"57194619900;57190175382;55427298100;";The method and the program of automated synthesis of thermal control systems of microelectronic devices;2017
Mitra R.;"23393298800;";Domestic saving-investment correlation puzzle revisited: A time series analysis for South Africa;2017
Meylakhs P., Aasland A., Grønningsæter A.;"34978898900;6602778604;55106082300;";"""Until people start dying in droves, no actions will be taken"": Perception and experience of HIV-preventive measures among people who inject drugs in northwestern Russia";2017
Bochaver A.A., Zhilinskaya A.V., Khlomov K.D.;"25622959300;57128524600;57128609500;";The Future Prospects of Modern Adolescents in the Life Course Perspective;2017
Osin E.N.;"35737831400;";The Category of Alienation in Educational Psychology: Its History and Prospects;2017
Tyumeneva Y.A., Goncharova M.V.;"12790872300;57200331083;";Following the Template: Transferring Modeling Skills to Nonstandard Problems;2017
Shadrikov V.D.;"55571101400;";The Evolution of Thought;2017
Gordeeva T.O., Osin E.N., Suchkov D.D., Ivanova T.Y., Sychev O.A., Bobrov V.V.;"6602172513;35737831400;57195261001;56524921300;56528284200;57200330573;";Self-Control as a Personal Resource: Determining Its Relationships to Success, Perseverance, and Well-Being;2017
Siparov S., Samodurov V., Laptev G.;"6603012816;6603317877;56521287500;";Origin of observed periodic components in astrophysical masers' spectra;2017
Tihanov G.;"24175231500;";Interrogating modernity: Hermann Broch's post-romanticism;2017
Gutnikov O.V., Dupan A.S., Emelyantsev V.P.;"55904029200;57191723972;57197819305;";Problems of legal regulation improvement in the sphere of science, technology and innovation in post-soviet space in keeping with modern international regulatory trends;2017
Mitra R.;"23393298800;";Stock market and foreign exchange market integration in South Africa;2017
Grigoriev P.D., Sinchenko A.A., Kesharpu K.K., Shakin A., Mogilyuk T.I., Orlov A.P., Frolov A.V., Lyubshin D.S., Chareev D.A., Volkova O.S., Vasiliev A.N.;"7004467795;6602112623;57195471125;56835661700;54898036100;57220160705;57193951950;8520872700;15051531400;56227907300;7402046602;";Anisotropic effect of appearing superconductivity on the electron transport in FeSe;2017
Rakhmanov A.L., Kugel K.I., Kagan M.Y., Rozhkov A.V., Sboychakov A.O.;"7006710342;7003929702;7102277369;7006655917;8341151200;";Inhomogeneous electron states in the systems with imperfect nesting;2017
Carayannis E.G., Meissner D., Edelkina A.;"7006225155;55337583500;56453429900;";Targeted innovation policy and practice intelligence (TIP2E): concepts and implications for theory, policy and practice;2017
Rykov Y.G., Meylakhs P.A., Sinyavskaya Y.E.;"56437597200;34978898900;57195353318;";Network Structure of an AIDS-Denialist Online Community: Identifying Core Members and the Risk Group;2017
Feigin E., Fourier G., Littelmann P.;"6701558236;14631977300;6602543209;";FAVOURABLE MODULES: FILTRATIONS, POLYTOPES, NEWTON–OKOUNKOV BODIES AND FLAT DEGENERATIONS;2017
Tihanov G.;"24175231500;";Interrogating modernity: Hermann broch's post-romanticism;2017
Nicolini M., Scarpa C., Valbonesi P.;"36895078000;8725413500;56986120500;";Determinants of state aid to firms: The case of the European automotive industry;2017
Bykov P.L., Vasilenko E.V., Gordin V.A., Tarasova L.L.;"55201466000;57193446059;7004227636;56240325700;";The statistical structure of the field of surface soil layer moisture from ground-based and satellite observations;2017
Koltcov S.N.;"55803521900;";A thermodynamic approach to selecting a number of clusters based on topic modeling;2017
Chalk M., Masset P., Gutkin B., Deneve S.;"36010487400;57194701287;55884887100;6602241278;";Sensory noise predicts divisive reshaping of receptive fields;2017
Baranov A.D., Fedorovskiy K.Y.;"56235290900;7801498472;";On L 1-estimates of derivatives of univalent rational functions;2017
Boklan D.S., Janusz-Pawletta B.;"57194635788;56283017900;";Legal challenges to the management of transboundary watercourses in Central Asia under the conditions of Eurasian Economic Integration;2017
Gokhberg L., Meissner D., Shmatko N.;"6508192345;55337583500;6507223957;";Myths and Realities of Highly Qualified Labor and What It Means for PhDs;2017
Günther J., Meissner D.;"35621846100;55337583500;";Clusters as Innovative Melting Pots?—the Meaning of Cluster Management for Knowledge Diffusion in Clusters;2017
Cherkaev X.A.;"56700443600;";2016 Society for Humanistic Anthropology Fiction/Creative Nonfiction Third Prize How Grades Had Been Gotten for Penguins and Money;2017
Inglehart R.F., Ponarin E., Inglehart R.C.;"6603572720;57204153949;54391157100;";Cultural change, slow and fast: The distinctive trajectory of norms governing gender equality and sexual orientation;2017
Bondarenko G.G., Kristya V.I., Savichkin D.O.;"7103344120;6602779594;56241354200;";Influence of the field electron emission from the cathode with an insulating film on the normal glow discharge characteristics;2017
Medvedeva E.A., Zhenikhov Y.N., Urvantsev I.V., Tsyba V.E.;"57196832602;57194323145;57194338801;57190811885;";Prospects for using peat and products of its processing in municipal power engineering in rural and remote areas;2017
Kolesnikov A.V., Zaev D.A.;"7101682128;57039087000;";Optimal transportation of processes with infinite Kantorovich distance: Independence and symmetry;2017
Feigin E., Finkelberg M., Reineke M.;"6701558236;6602282553;6602920692;";Degenerate affine Grassmannians and loop quivers;2017
Sheldon K.M., Titova L., Gordeeva T.O., Osin E.N., Lyubomirsky S., Bogomaz S.;"7006407803;57194204838;6602172513;35737831400;7003922794;6603772587;";Russians Inhibit the Expression of Happiness to Strangers: Testing a Display Rule Model;2017
Ryabichenko T., Lebedeva N.;"57207658876;8719892500;";Motivation for Ethno-Cultural Continuity as a Predictor of Acculturation and Adaptation in Two Generations of Latvian Russians;2017
Torres J.P., Jara Bertín M., López-Iturriaga F.J.;"57213425062;36132678000;8410264500;";Corporate control and firm value: The bright side of business groups;2017
Mamonov M., Vernikov A.;"57195236889;55203483300;";Bank ownership and cost efficiency: New empirical evidence from Russia;2017
Korneeva Y., Florya I., Vdovichev S., Moshkova M., Simonov N., Kaurova N., Korneev A., Goltsman G.;"36617215400;36155188500;8916243100;57193950740;57193953246;6507396101;7006297830;7006771637;";Comparison of Hot Spot Formation in NbN and MoN Thin Superconducting Films after Photon Absorption;2017
Lushin V., Jaccard J., Kaploun V.;"36994751200;7006194626;57193906409;";Parental monitoring, adolescent dishonesty and underage drinking: A nationally representative study;2017
Boldyrev I., Kirtchik O.;"54881811600;36677495100;";The cultures of mathematical economics in the postwar Soviet Union: More than a method, less than a discipline;2017
Havranek T., Rusnak M., Sokolova A.;"24453189000;36710696700;57200253291;";Habit formation in consumption: A meta-analysis;2017
Tovar-García E.D.;"55421102000;";The impact of perseverance and passion for long term goals (GRIT) on educational achievements of migrant children: Evidence from Tatarstan, Russia [El impacto de la perseverancia y pasión por las metas de largo plazo (GRIT) en los éxitos educativos de niños migrantes: evidencia desde Tartaristán, Rusia];2017
Fursov K., Thurner T.W.;"22734005700;23978154900;";Make it work!-A study of user innovation in Russia;2017
Piai V., Meyer L., Dronkers N.F., Knight R.T.;"36961301600;53980176000;6603880631;57206471338;";Neuroplasticity of language in left-hemisphere stroke: Evidence linking subsecond electrophysiology and structural connections;2017
Kratzer J., Meissner D., Roud V.;"6602289241;55337583500;55903466600;";Open innovation and company culture: Internal openness makes the difference;2017
Bakhtin P., Saritas O., Chulok A., Kuzminov I., Timofeev A.;"57193674146;6506092892;56669650700;56502223900;57193664931;";Trend monitoring for linking science and strategy;2017
Fursov K., Kadyrova A.;"22734005700;57225124666;";How the analysis of transitionary references in knowledge networks and their centrality characteristics helps in understanding the genesis of growing technology areas;2017
Antipov E.A., Pokryshevskaya E.B.;"57205771990;57216425890;";Are box office revenues equally unpredictable for all movies? Evidence from a Random forest-based model;2017
Lobanov Y., Shcherbatenko M., Semenov A., Kovalyuk V., Kahl O., Ferrari S., Korneev A., Ozhegov R., Kaurova N., Voronov B.M., Pernice W.H.P., Gol'tsman G.N.;"9333900400;56095501200;56879243200;35778256000;56898793400;56594333800;7006297830;8309839000;6507396101;57200973381;16040560600;7006771637;";Superconducting nanowire single photon detector for coherent detection of weak signals;2017
Titova N., Kardakova A.I., Tovpeko N., Ryabchun S., Mandal S., Morozov D., Klemencic G.M., Giblin S.R., Williams O.A., Goltsman G.N., Klapwijk T.M.;"56740458200;39861647200;57193570599;15766226900;15056164400;56488446900;56024315000;8516599100;7102717469;7006771637;7006694350;";Slow Electron-Phonon Cooling in Superconducting Diamond Films;2017
Natanzon S.M., Orlov A.Y.;"6603742412;7202403709;";BKP and projective Hurwitz numbers;2017
Golubeva V.A., Ivanov A.N.;"7006772080;57219741333;";Fuchsian systems for Dotsenko–Fateev multipoint correlation functions and similar integrals of hypergeometric type;2017
Semenov A.G., Zaikin A.D.;"57189572950;7103103279;";Quantum phase slips and voltage fluctuations in superconducting nanowires;2017
Kreps V.;"6506935353;";On Maximal Vector Spaces of Finite Noncooperative Games;2017
Feigin E., Makhlin I.;"6701558236;56556846000;";Vertices of FFLV polytopes;2017
Feige D., Vonortas N.S.;"57220212640;6602487131;";Context appropriate technologies for development: Choosing for the future;2017
Kotyrlo E.;"55318733700;";Fertility and commuting: evidence based on first-birth rates of young working women;2017
Vishnevskiy K., Karasev O., Meissner D., Razheva A., Klubova M.;"57194113437;54895674700;55337583500;56453429900;56453345400;";Technology foresight in asset intensive industries: The case of Russian shipbuilding;2017
Alexeeva S., Frolova A., Slioussar N.;"56292079100;57191952781;42162211500;";Data from russian help to determine in which languages the possible word constraint applies;2017
Kokovin S., Nahata B.;"23392413500;6507212584;";Method of Digraphs for Multi-dimensional Screening;2017
Smirnov S.N., Lapshin V.A., Kurbangaleev M.Z.;"57211114685;55177754000;57190747005;";Deriving implied risk-free interest rates from bond and CDS quotes: a model-independent approach;2017
Gokhberg L., Sokolov A.;"6508192345;55145232200;";Technology foresight in Russia in historical evolutionary perspective;2017
Proskuryakova L.;"55252644100;";Energy technology foresight in emerging economies;2017
Ena O.V., Chulok A.A., Shashnov S.A.;"57189339675;56669650700;55603433300;";Networking for sustainable Foresight: A Russian study;2017
Botchie D., Sarpong D., Bi J.;"57189247660;37066444200;56963377200;";Technological inclusiveness: Northern versus Chinese induced technologies in the garment industry;2017
Kiritchenko V.;"7801669086;";NEWTON–OKOUNKOV POLYTOPES OF FLAG VARIETIES;2017
Sorokin P.;"56509164400;";Vision and Mission of Sociology: Learning from the Russian Historical Experience;2017
Vasilyev D., Busygin V., Busygin S.;"57217703075;36892394100;57210561641;";Testing and interpreting uncovered interest parity in Russia;2017
Pochekaev R.I.;"57190090464;";Sultan Sadyk in the struggle of the Central Asian khanates against the Russian Empire;2017
Häuberer J., Tatarko A.;"55957625500;8440401400;";Network composition, individual social capital and culture: Comparing traditional and post-modernized cultures;2017
Nakamura S., Pashkin Y.A., Taupin M., Maisi V.F., Khaymovich I.M., Mel'Nikov A.S., Peltonen J.T., Pekola J.P., Okazaki Y., Kashiwaya S., Kawabata S., Vasenko A.S., Tsai J.-S., Kaneko N.-H.;"56076702700;7004495404;35213986400;24829790700;26867827700;7102720185;15766156500;7006198545;54179593100;7005425802;55548067900;8964807800;7403610308;7102444273;";Interplay of the Inverse Proximity Effect and Magnetic Field in Out-of-Equilibrium Single-Electron Devices;2017
Mkrtchyan T., Lokhova E.;"57194459417;57194458530;";Ecological effectiveness as an essential quality requirement of innovational construction;2017
Ikhsanov R.Sh., Novitsky A.V., Protsenko I.E., Uskov A.V.;"15131512700;8700957600;7006067536;7006136819;";Bulk photoemission from plasmonic nanoparticles: Physical models and software tools;2017
Bespalov P., Mizonova V.;"6701525903;6507618579;";Propagation of a whistler wave incident from above on the lower nighttime ionosphere;2017
Kahl O., Ferrari S., Kovalyuk V., Vetter A., Lewes-Malandrakis G., Nebel C., Korneev A., Goltsman G., Pernice W.;"56898793400;56594333800;35778256000;57188632848;55681662400;7006405412;7006297830;7006771637;16040560600;";Spectrally multiplexed single-photon detection with hybrid superconducting nanophotonic circuits;2017
Kovaleva N.N., Kusmartseva O.E., Kugel K.I., Kusmartsev F.V.;"7101643604;6603467057;7003929702;7006372417;";Manifestation of quantum rotor orbital excitations in Raman spectra of Jahn-Teller crystal LaMnO3;2017
Colosio M., Shestakova A., Nikulin V.V., Blagovechtchenski E., Klucharev V.;"56300578700;6701794973;7007084310;6506349269;6508265153;";Neural mechanisms of cognitive dissonance (Revised): An EEG study;2017
Mahjoory K., Nikulin V.V., Botrel L., Linkenkaer-Hansen K., Fato M.M., Haufe S.;"57193715564;7007084310;55815794000;6602321598;7004706468;6701430010;";Consistency of EEG source localization and connectivity estimates;2017
Reitsma M.B., Fullman N., Ng M., Salama J.S., Abajobir A., Abate K.H., Abbafati C., Abera S.F., Abraham B., Abyu G.Y., Adebiyi A.O., Al-Aly Z., Aleman A.V., Ali R., Alkerwi A.A., Allebeck P., Al-Raddadi R.M., Amare A.T., Amberbir A., Ammar W., Amrock S.M., Antonio C.A.T., Asayesh H., Atnafu N.T., Azzopardi P., Banerjee A., Barac A., Barrientos-Gutierrez T., Basto-Abreu A.C., Bazargan-Hejazi S., Bedi N., Bell B., Bello A.K., Bensenor I.M., Beyene A.S., Bhala N., Biryukov S., Bolt K., Brenner H., Butt Z., Cavalleri F., Cercy K., Chen H., Christopher D.J., Ciobanu L.G., Colistro V., Colomar M., Cornaby L., Dai X., Damtew S.A., Dandona L., Dandona R., Dansereau E., Davletov K., Dayama A., Degfie T.T., Deribew A., Dharmaratne S.D., DImtsu B.D., Doyle K.E., Endries A.Y., Ermakov S.P., Estep K., Faraon E.J.A., Farzadfar F., Feigin V.L., Feigl A.B., Fischer F., Friedman J., Ghiwot T.T., Gall S.L., Gao W., Gillum R.F., Gold A.L., Gopalani S.V., Gotay C.C., Gupta R., Gupta R., Gupta V., Hamadeh R.R., Hankey G., Harb H.L., Hay S.I., Horino M., Horita N., Hosgood H.D., Husseini A., Ileanu B.V., Islami F., Jiang G., Jiang Y., Jonas J.B., Kabir Z., Kamal R., Kasaeian A., Kesavachandran C.N., Khader Y.S., Khalil I., Khang Y.-H., Khera S., Khubchandani J., Kim D., Kim Y.J., Kimokoti R.W., Kinfu Y., Knibbs L.D., Kokubo Y., Kolte D., Kopec J., Kosen S., Kotsakis G.A., Koul P.A., Koyanagi A., Krohn K.J., Krueger H., Defo B.K., Bicer B.K., Kulkarni C., Kumar G.A., Leasher J.L., Lee A., Leinsalu M., Li T., Linn S., Liu P., Liu S., Lo L.-T., Lopez A.D., Ma S., Abd El Razek H.M., Majeed A., Malekzadeh R., Malta D.C., Manamo W.A., Martinez-Raga J., Mekonnen A.B., Mendoza W., Miller T.R., Mohammad K.A., Morawska L., Musa K.I., Nagel G., Neupane S.P., Nguyen Q., Nguyen G., Oh I.-H., Oyekale A.S., Pa M., Pana A., Park E.-K., Patil S.T., Patton G.C., Pedro J., Qorbani M., Rafay A., Rahman M., Rai R.K., Ram U., Ranabhat C.L., Refaat A.H., Reinig N., Roba H.S., Rodriguez A., Roman Y., Roth G., Roy A., Sagar R., Salomon J.A., Sanabria J., De Souza Santos I., Sartorius B., Satpathy M., Sawhney M., Sawyer S., Saylan M., Schaub M.P., Schluger N., Schutte A.E., Sepanlou S.G., Serdar B., Shaikh M.A., She J., Shin M.-J., Shiri R., Shishani K., Shiue I., Sigfusdottir I.D., Silverberg J.I., Singh J., Singh V., Slepak E.L., Soneji S., Soriano J.B., Soshnikov S., Sreeramareddy C.T., Stein D.J., Stranges S., Subart M.L., Swaminathan S., Szoeke C.E.I., Tefera W.M., Topor-Madry R., Tran B., Tsilimparis N., Tymeson H., Ukwaja K.N., Updike R., Uthman O.A., Violante F.S., Vladimirov S.K., Vlassov V., Vollset S.E., Vos T., Weiderpass E., Wen C.-P., Werdecker A., Wilson S., Wubshet M., Xiao L., Yakob B., Yano Y., Ye P., Yonemoto N., Yoon S.-J., Younis M.Z., Yu C., Zaidi Z., Zaki M.E.S., Zhang A.L., Zipkin B., Murray C.J.L., Forouzanfar M.H., Gakidou E., GBD 2015 Tobacco Collaborators;"57208766315;57211064970;36155754200;57202975625;57203613441;57207943858;54917122400;57205180598;57202568691;57190277969;57203334499;9738161500;57204772329;57196506541;57197724313;7005187575;57219673720;57202220009;57202564972;57208159281;57211220414;55247644500;55334322800;57204088004;56861081000;57208560645;55550748700;16548801900;57202554978;57205912040;57218390202;57213741081;12759638700;7004830338;57209036705;15759186000;57195296731;57194141158;7201832825;57202522739;57203080582;57208777587;35331605500;57209863533;57201603453;57214065358;57218434254;57191837051;57221591169;56083753800;7007017243;57203043697;57203833128;6602803024;57202564137;57194129130;25625914400;57216324802;57194129023;55693710800;57216324852;7006796196;57216550964;57195414019;57195049611;57203677957;57202461042;55508208800;57202895428;57195446566;7005385955;57194140360;7103181331;57194129483;57190277891;35480913900;57219381513;55705295300;57199940722;57202769526;7102816661;57221443122;7101875313;57195769276;57217110823;56353204400;6603689690;57202148423;56926442900;56984997300;57216138470;7202492953;57207901718;57203177242;57195540738;57218000521;55654192600;57205654930;57198904674;55052471100;57211720011;57223019104;57205347113;8647554600;12770281900;16313525200;56155004000;26321613900;7006284395;57211346192;55633117700;55395891200;57197741912;57194138806;7102340018;6602271655;57204528360;7003817609;57139550500;57197789738;57223134228;6603447541;57194141681;7102590173;56170368200;57209574351;57214204231;7401455668;7403723389;57192381583;7102027801;7005197760;15835283500;57191836792;57202861191;57200179648;57216905642;7403948600;57205300378;7004773965;57194536466;7103201623;55270561200;57223642100;57191591002;57204090669;57200949556;57212735186;57191837583;57216814178;57212263349;7102184358;57208350594;24831040300;57212263323;57205551851;51864423900;26653819000;56719695500;57216641565;57208577401;57200684844;57221078374;57191841842;55074747400;7402704658;7004906586;56745638600;7006262917;57198312911;12788526800;56541895200;57217153893;7103253172;56253241700;57117394900;7003556253;57216814352;36248136000;57216717159;57203122601;57209122131;7401536640;57200737050;14025005500;35811219800;57195363778;6603664613;7404421736;57191848598;57205356367;57204096389;7101973935;57195195606;57212263335;55769747595;7003835008;57194140438;7102380757;6505920990;36631155200;57211182892;41961645200;17435999400;57194139009;57202824584;57204698680;23026328100;7003555890;57195959162;57211633239;57196315778;57223885848;57205018947;57217433679;57208964895;56395837100;54409732600;57225724338;57203811497;57196965200;57202839295;57204947657;24823148900;8549393000;57201889726;57197376721;57203666922;56391112900;57200737130;55481130700;57202562738;57202567277;";Smoking prevalence and attributable disease burden in 195 countries and territories, 1990-2015: A systematic analysis from the global burden of disease study 2015;2017
Bienvenu M., Kikot S., Kontchakov R., Podolskii V.V., Ryzhikov V., Zakharyaschev M.;"57207597978;50262220100;23008721700;23092161300;23467849100;6602982360;";The complexity of ontology-based data access with OWL2QL and bounded treewidth queries;2017
Nechaev S.K., Tamm M.V., Valba O.V.;"7006930329;7006098030;37100734000;";Path counting on simple graphs: From escape to localization;2017
Poylova A., Polukhina E.;"57194277914;57016670000;";Biography as a “tree of choices”: Discovering the life trajectories of young entrepreneurs in Russia;2017
Novikov N.A., Nurislamova Y.M., Zhozhikashvili N.A., Kalenkovich E.E., Lapina A.A., Chernyshev B.V.;"57050150500;57194142620;57194142568;57194144998;57194149565;6701373995;";Slow and fast responses: Two mechanisms of trial outcome processing revealed by EEG oscillations;2017
Kynev A.V.;"15127272200;";State Duma of the Russian Federation of the 7th Convocation: Between “Sleeping Potential” and Party Discipline;2017
Savelyev A.;"57192936912;";Contract law 2.0: ‘Smart’ contracts as the beginning of the end of classic contract law;2017
Kovalova A.;"57188749925;";World War I and pre-Revolutionary Russian cinema;2017
Mylonas Y.;"54791223700;";Witnessing absences: social media as archives and public spheres;2017
Kompatsiaris P.;"56392918200;";Whitewashing the nation: racist jokes and the construction of the African ‘other’ in Greek popular cinema;2017
Blyakhman L.G., Gromov E.M., Onosova I.V., Tyutin V.V.;"57217921098;56707638200;57190575020;6603597680;";Dynamics of the Davydov–Scott soliton with location or velocity mismatch of its high-frequency component;2017
Osmakov V., Kalinin A.;"57197768724;55609338000;";On the strategy for industrial development of Russia;2017
Scuotto V., Del Giudice M., Bresciani S., Meissner D.;"55960201200;54412034700;57202348256;55337583500;";Knowledge-driven preferences in informal inbound open innovation modes. An explorative view on small to medium enterprises;2017
Vyugin I.V., Levin R.I.;"8503684100;57195603719;";On the Riemann–Hilbert problem for difference and q-difference systems;2017
Bezhaeva Z.I., Kulikov V.L., Olekhova E.F., Oseledets V.I.;"6506143208;57195607540;57195608009;6603097259;";Erdős measures on the Euclidean space and on the group of A-adic integers;2017
Bonatti C., Grines V.Z., Pochinka O.V.;"7003355480;55978243000;6507516545;";Realization of Morse–Smale diffeomorphisms on 3-manifolds;2017
Buchstaber V.M., Glutsyuk A.A.;"7004180276;6603503731;";On monodromy eigenfunctions of Heun equations and boundaries of phase-lock areas in a model of overdamped Josephson effect;2017
Grines V.Z., Zhuzhoma E.V., Medvedev V.S.;"55978243000;6603572170;7202315836;";On the structure of the ambient manifold for Morse–Smale systems without heteroclinic intersections;2017
Okunev A.V., Shilin I.S.;"57188652453;56260915300;";On the attractors of step skew products over the Bernoulli shift;2017
Bufetov A.I.;"7801312296;";A palm hierarchy for determinantal point processes with the Bessel kernel;2017
Smirnov S.V., Kondrashov N.V., Petronevich A.V.;"56644036900;57195528789;56871244300;";Dating Cyclical Turning Points for Russia: Formal Methods and Informal Choices;2017
Zamiatnina E.S.;"57195431019;";Gender-related differences in speciality choices in Russia;2017
Rozhdestvenskaya E.Yu., Semenova V.V.;"56445774800;35893185500;";Qualitative methodology as a tool for social forecasting: Opportunities and limitations;2017
Kazun A.D., Kazun A.P.;"57193912167;55948678700;";When troubles never come singly: Coverage of three tragedies in the Russian media;2017
Bolshakov N.V.;"57194173033;";Bring together, combine and mix: Qualitative and quantitative methods in modern research practices;2017
Popel S.I., Golub’ A.P., Zelenyi L.M., Horányi M.;"7004783855;36902171000;7004885025;7004420623;";Impacts of fast meteoroids and a plasma–dust cloud over the lunar surface;2017
Murtazina A.R., Nikishina Y.O., Bondarenko N.S., Sapronova A.Y., Volina E.V., Ugrumov M.V.;"57188881130;57188870278;56622467900;7004933785;7003385752;55684228700;";Gene expression and content of enzymes of noradrenaline synthesis in the rat organ of Zuckerkandl at the critical period of morphogenesis;2017
Zlotnik A.A., Chetverushkin B.N.;"7101674545;6701664800;";Entropy balance for the one-dimensional hyperbolic quasi-gasdynamic system of equations;2017
Minenkov D.S., Nazaikinskii V.E., Chernyshev V.L.;"36010696700;6603871274;22978469800;";On the limit shape of elements of an arithmetic semigroup with an exponentially growing counting function of basis elements;2017
Esakov G.;"23495909500;";International criminal lawin Russia: Missed crimes waiting for a revival;2017
Zotov M.G.;"56999077700;";Algorithm for synthesizing optimal controllers of given complexity;2017
Zhuzhoma E.V., Medvedev V.S.;"6603572170;7202315836;";Saddle-type solenoidal basis sets;2017
Pereskokov A.V.;"6602950211;";Semiclassical asymptotics of the spectrum near the lower boundary of spectral clusters for a Hartree-type operator;2017
Danilovich I.L., Volkova O.S., Vasiliev A.N.;"57094021900;56227907300;7402046602;";Magnetism of polyanionic compounds of transition metals (ReviewArticle);2017
Gladchenkov E.V., Zakharchenko K.V., Ibragimov R.F., Kaperko A.F., Kolyubin V.A., Kulagin V.P., Nedosekin P.G., Tyurin E.M.;"54386703800;6602302950;57188994724;6507584555;6508141942;56912007700;56086142600;36178955200;";Experimental investigations and mathematical simulation of the operation of ionizing-radiation diamond detectors;2017
Bondarenko G.G., Didyk A.Y., Borovitskaya I.V., Kulikauskas V.S., Eriskin A.A., Nikulin V.Y., Silin P.V., Volobuev I.V., Peregudova E.N., Belous W., Wasjak Y., Hajewska E.;"7103344120;7004359192;7801456545;7004158476;57193646296;7007084297;6601987275;7004705977;26428397800;56764539600;56764722600;6507048755;";Study of deuterium and hydrogen distributions in Ta|CD2|Ta, Ta|Ta|CD2|Ta|Ta, and Nb|CD2|Nb assemblies after exposure to high-temperature argon plasma;2017
Diermeier D., Egorov G., Sonin K.;"6602152860;24801824800;9249020600;";Political Economy of Redistribution;2017
Kudriaeva A., Galatenko V.V., Maltseva D.V., Khaustova N.A., Kuzina E., Tonevitsky A.G., Gabibov A., Belogurov A., Jr.;"55984781600;6505796691;55062627500;55902239500;37028619500;35584579500;7006905505;11739436600;";The transcriptome of type i murine astrocytes under interferon-gamma exposure and remyelination stimulus;2017
Demin A.S., Morozov E.V., Maslyaev S.A., Pimenov V.N., Gribkov V.A., Demina E.V., Sasinovskaya I.P., Sirotinkin V.P., Sprygin U.S., Bondarenko G.G., Tikhonov A.N., Gaidar A.I.;"44961084500;57189906051;6603023345;35546277900;55401706200;7005339453;7801464037;6603120490;57194448968;7103344120;57190030962;24729382700;";The influence of a powerful stream of deuterium ions and deuterium plasma on the structural state of the surface layer of titanium;2017
Moiseev S., Karpov I., Miftahutdinova K., Mikhailova O.;"56205918900;56005507700;57194433567;57194423488;";Social network analysis in the context of various scientific and applied disciplines;2017
Novikov G.;"57191615903;";History of economy and economy of history;2017
Pavlov I.;"57211607059;";Demography and labor markets;2017
Popel S.I., Morozova T.I.;"7004783855;54791123100;";Wave processes during the interaction of the Earth’s magnetotail with dusty plasma near the lunar surface;2017
Zakhidov S.T., Mudzhiri N.M., Rudoy V.M., Dement’eva O.V., Makarov A.A., Zelenina I.A., Marshak T.L.;"7003809680;55921596000;8847412500;57188736847;48661185300;6603947162;7003943779;";Gold nanoparticles: Mutagen, antimutagen, or comutagen?;2017
Moulin H.;"7004297002;";One-dimensional mechanism design;2017
Aleskerov F.T., Belousova V.Y., Petrushchenko V.V.;"7003947309;55861727800;56878996400;";Models of data envelopment analysis and stochastic frontier analysis in the efficiency assessment of universities;2017
Barash L.Y., Guskova M.S., Shchur L.N.;"12765472700;57000360600;56004933800;";Employing AVX vectorization to improve the performance of random number generators;2017
Loubenets E.R.;"6507813139;";New concise upper bounds on quantum violation of general multipartite Bell inequalities;2017
